19 |input  57:1 91:1 158:3.0
19 |input  57:1 91:1 158:2.75
20 |input  39:1 77:1 158:5.0 |output 52:1 53:1 77:1
20 |input  39:1 77:1 158:4.75
20 |input  39:1 77:1 158:4.5
20 |input  38:1 39:1 76:1 77:1 158:4.25
20 |input  53:1 87:1 158:4.0
20 |input  53:1 87:1 158:3.75
20 |input  53:1 87:1 158:3.5
20 |input  52:1 53:1 86:1 87:1 158:3.25
20 |input  57:1 91:1 158:3.0
21 |input  52:1 53:1 77:1 158:5.25 |output 53:1 77:1
21 |input  39:1 77:1 158:5.0
21 |input  39:1 77:1 158:4.75
21 |input  39:1 77:1 158:4.5
21 |input  38:1 39:1 76:1 77:1 158:4.25
21 |input  53:1 87:1 158:4.0
21 |input  53:1 87:1 158:3.75
21 |input  53:1 87:1 158:3.5
21 |input  52:1 53:1 86:1 87:1 158:3.25
22 |input  53:1 77:1 158:5.5 |output 53:1 77:1
22 |input  52:1 53:1 77:1 158:5.25
22 |input  39:1 77:1 158:5.0
22 |input  39:1 77:1 158:4.75
22 |input  39:1 77:1 158:4.5
22 |input  38:1 39:1 76:1 77:1 158:4.25
22 |input  53:1 87:1 158:4.0
22 |input  53:1 87:1 158:3.75
22 |input  53:1 87:1 158:3.5
23 |input  53:1 77:1 158:5.75 |output 53:1 77:1
23 |input  53:1 77:1 158:5.5
23 |input  52:1 53:1 77:1 158:5.25
23 |input  39:1 77:1 158:5.0
23 |input  39:1 77:1 158:4.75
23 |input  39:1 77:1 158:4.5
23 |input  38:1 39:1 76:1 77:1 158:4.25
23 |input  53:1 87:1 158:4.0
23 |input  53:1 87:1 158:3.75
24 |input  53:1 77:1 158:6.0 |output 46:1 47:1 77:1
24 |input  53:1 77:1 158:5.75
24 |input  53:1 77:1 158:5.5
24 |input  52:1 53:1 77:1 158:5.25
24 |input  39:1 77:1 158:5.0
24 |input  39:1 77:1 158:4.75
24 |input  39:1 77:1 158:4.5
24 |input  38:1 39:1 76:1 77:1 158:4.25
24 |input  53:1 87:1 158:4.0
25 |input  46:1 47:1 77:1 158:6.25 |output 47:1 77:1
25 |input  53:1 77:1 158:6.0
25 |input  53:1 77:1 158:5.75
25 |input  53:1 77:1 158:5.5
25 |input  52:1 53:1 77:1 158:5.25
25 |input  39:1 77:1 158:5.0
25 |input  39:1 77:1 158:4.75
25 |input  39:1 77:1 158:4.5
25 |input  38:1 39:1 76:1 77:1 158:4.25
26 |input  47:1 77:1 158:6.5 |output 47:1 77:1
26 |input  46:1 47:1 77:1 158:6.25
26 |input  53:1 77:1 158:6.0
26 |input  53:1 77:1 158:5.75
26 |input  53:1 77:1 158:5.5
26 |input  52:1 53:1 77:1 158:5.25
26 |input  39:1 77:1 158:5.0
26 |input  39:1 77:1 158:4.75
26 |input  39:1 77:1 158:4.5
27 |input  47:1 77:1 158:6.75 |output 47:1 77:1
27 |input  47:1 77:1 158:6.5
27 |input  46:1 47:1 77:1 158:6.25
27 |input  53:1 77:1 158:6.0
27 |input  53:1 77:1 158:5.75
27 |input  53:1 77:1 158:5.5
27 |input  52:1 53:1 77:1 158:5.25
27 |input  39:1 77:1 158:5.0
27 |input  39:1 77:1 158:4.75
28 |input  47:1 77:1 158:7.0 |output 52:1 53:1 76:1 77:1
28 |input  47:1 77:1 158:6.75
28 |input  47:1 77:1 158:6.5
28 |input  46:1 47:1 77:1 158:6.25
28 |input  53:1 77:1 158:6.0
28 |input  53:1 77:1 158:5.75
28 |input  53:1 77:1 158:5.5
28 |input  52:1 53:1 77:1 158:5.25
28 |input  39:1 77:1 158:5.0
29 |input  52:1 53:1 76:1 77:1 158:7.25 |output 53:1 77:1
29 |input  47:1 77:1 158:7.0
29 |input  47:1 77:1 158:6.75
29 |input  47:1 77:1 158:6.5
29 |input  46:1 47:1 77:1 158:6.25
29 |input  53:1 77:1 158:6.0
29 |input  53:1 77:1 158:5.75
29 |input  53:1 77:1 158:5.5
29 |input  52:1 53:1 77:1 158:5.25
30 |input  53:1 77:1 158:7.5 |output 53:1 76:1 77:1
30 |input  52:1 53:1 76:1 77:1 158:7.25
30 |input  47:1 77:1 158:7.0
30 |input  47:1 77:1 158:6.75
30 |input  47:1 77:1 158:6.5
30 |input  46:1 47:1 77:1 158:6.25
30 |input  53:1 77:1 158:6.0
30 |input  53:1 77:1 158:5.75
30 |input  53:1 77:1 158:5.5
31 |input  53:1 76:1 77:1 158:7.75 |output 53:1 77:1
31 |input  53:1 77:1 158:7.5
31 |input  52:1 53:1 76:1 77:1 158:7.25
31 |input  47:1 77:1 158:7.0
31 |input  47:1 77:1 158:6.75
31 |input  47:1 77:1 158:6.5
31 |input  46:1 47:1 77:1 158:6.25
31 |input  53:1 77:1 158:6.0
31 |input  53:1 77:1 158:5.75
32 |input  53:1 77:1 158:8.0 |output 38:1 39:1 76:1 77:1
32 |input  53:1 76:1 77:1 158:7.75
32 |input  53:1 77:1 158:7.5
32 |input  52:1 53:1 76:1 77:1 158:7.25
32 |input  47:1 77:1 158:7.0
32 |input  47:1 77:1 158:6.75
32 |input  47:1 77:1 158:6.5
32 |input  46:1 47:1 77:1 158:6.25
32 |input  53:1 77:1 158:6.0
33 |input  38:1 39:1 76:1 77:1 158:8.25 |output 39:1 77:1
33 |input  53:1 77:1 158:8.0
33 |input  53:1 76:1 77:1 158:7.75
33 |input  53:1 77:1 158:7.5
33 |input  52:1 53:1 76:1 77:1 158:7.25
33 |input  47:1 77:1 158:7.0
33 |input  47:1 77:1 158:6.75
33 |input  47:1 77:1 158:6.5
33 |input  46:1 47:1 77:1 158:6.25
34 |input  39:1 77:1 158:8.5 |output 39:1 77:1
34 |input  38:1 39:1 76:1 77:1 158:8.25
34 |input  53:1 77:1 158:8.0
34 |input  53:1 76:1 77:1 158:7.75
34 |input  53:1 77:1 158:7.5
34 |input  52:1 53:1 76:1 77:1 158:7.25
34 |input  47:1 77:1 158:7.0
34 |input  47:1 77:1 158:6.75
34 |input  47:1 77:1 158:6.5
35 |input  39:1 77:1 158:8.75 |output 39:1 77:1
35 |input  39:1 77:1 158:8.5
35 |input  38:1 39:1 76:1 77:1 158:8.25
35 |input  53:1 77:1 158:8.0
35 |input  53:1 76:1 77:1 158:7.75
35 |input  53:1 77:1 158:7.5
35 |input  52:1 53:1 76:1 77:1 158:7.25
35 |input  47:1 77:1 158:7.0
35 |input  47:1 77:1 158:6.75
36 |input  39:1 77:1 158:9.0 |output 52:1 53:1 94:1 95:1
36 |input  39:1 77:1 158:8.75
36 |input  39:1 77:1 158:8.5
36 |input  38:1 39:1 76:1 77:1 158:8.25
36 |input  53:1 77:1 158:8.0
36 |input  53:1 76:1 77:1 158:7.75
36 |input  53:1 77:1 158:7.5
36 |input  52:1 53:1 76:1 77:1 158:7.25
36 |input  47:1 77:1 158:7.0
37 |input  52:1 53:1 94:1 95:1 158:9.25 |output 53:1 95:1
37 |input  39:1 77:1 158:9.0
37 |input  39:1 77:1 158:8.75
37 |input  39:1 77:1 158:8.5
37 |input  38:1 39:1 76:1 77:1 158:8.25
37 |input  53:1 77:1 158:8.0
37 |input  53:1 76:1 77:1 158:7.75
37 |input  53:1 77:1 158:7.5
37 |input  52:1 53:1 76:1 77:1 158:7.25
38 |input  53:1 95:1 158:9.5 |output 53:1 95:1
38 |input  52:1 53:1 94:1 95:1 158:9.25
38 |input  39:1 77:1 158:9.0
38 |input  39:1 77:1 158:8.75
38 |input  39:1 77:1 158:8.5
38 |input  38:1 39:1 76:1 77:1 158:8.25
38 |input  53:1 77:1 158:8.0
38 |input  53:1 76:1 77:1 158:7.75
38 |input  53:1 77:1 158:7.5
39 |input  53:1 95:1 158:9.75 |output 53:1 95:1
39 |input  53:1 95:1 158:9.5
39 |input  52:1 53:1 94:1 95:1 158:9.25
39 |input  39:1 77:1 158:9.0
39 |input  39:1 77:1 158:8.75
39 |input  39:1 77:1 158:8.5
39 |input  38:1 39:1 76:1 77:1 158:8.25
39 |input  53:1 77:1 158:8.0
39 |input  53:1 76:1 77:1 158:7.75
40 |input  53:1 95:1 158:10.0 |output 56:1 57:1 90:1 91:1
40 |input  53:1 95:1 158:9.75
40 |input  53:1 95:1 158:9.5
40 |input  52:1 53:1 94:1 95:1 158:9.25
40 |input  39:1 77:1 158:9.0
40 |input  39:1 77:1 158:8.75
40 |input  39:1 77:1 158:8.5
